,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
0,LIVPURE LIV-PEP-PRO-STAR.,9999,16490,4.3,39.0,Free delivery,Electrical & Storage,5
2,Aqua Fresh,4199,16500,4.0,74.0,Free delivery,Electrical & Storage,12
3,Kinsco Aqua,4299,20000,4.1,78.0,Free delivery,Electrical & Storage,15
4,KENT Ace,16999,21000,4.4,19.0,Free delivery,Electrical & Storage,5
5,KENT Ace,13999,19500,4.4,28.0,Free delivery,Electrical & Storage,5
6,Pureit Advanced,7599,11399,4.5,33.0,Free delivery,Electrical & Storage,12
7,Aqua Frisch,4299,20000,4.0,78.0,Free delivery,Electrical & Storage,15
8,Aqua Fresh,3999,16500,3.9,75.0,Free delivery,Electrical & Storage,20
9,Aquaguard Glory,13499,24000,4.2,43.0,Free delivery,Electrical & Storage,15
10,Pureit by,21990,27990,4.4,21.0,Free delivery,Electrical & Storage,5
11,Always UF,1325,3000,4.3,55.0,Free delivery,Non - Electrical & Storage,15
12,Blue Star,11499,21900,4.2,47.0,Free delivery,Electrical & Storage,15
13,Blue Star,7599,13900,3.7,45.0,Free delivery,Electrical & Storage,15
14,Aqua Fresh,4408,16500,4.1,73.0,Free delivery,Electrical & Storage,18
15,KENT Ace,16499,21000,4.4,21.0,Free delivery,Electrical & Storage,5
16,Aqua Fresh,3999,16500,4.0,75.0,Free delivery,Electrical & Storage,10
17,Aqua Fresh,918,2999,3.9,69.0,Delivery charges,Non - Electrical & Storage,5
18,Eureka Forbes,8999,18000,4.1,50.0,Free delivery,Electrical & Storage,5
19,V-Guard Zenora,9599,15949,4.3,39.0,Free delivery,Electrical & Storage,5
20,Grand plus,4299,16500,3.7,73.0,Free delivery,Electrical & Storage,1
21,Always Aquapure,3599,15500,4.3,76.0,Free delivery,Electrical & Storage,12
22,V-Guard Zenora,8449,13049,4.3,35.0,Free delivery,Electrical & Storage,5
23,Aqua Fresh,3999,13999,4.0,71.0,Free delivery,Electrical & Storage,12
24,Aquaguard Glory,17999,25000,4.2,28.0,Free delivery,Electrical & Storage,15
27,Pureit Max,13999,22500,4.4,37.0,Free delivery,Electrical & Storage,24
28,Blue Star,11045,17900,4.1,38.0,Free delivery,Electrical & Storage,5
29,MarQ by,3999,16500,4.0,75.0,Free delivery,Electrical & Storage,10
31,Pureit by,8999,18500,4.4,51.0,Free delivery,Electrical & Storage,20
33,Aqua Fresh,4499,15999,3.9,71.0,Free delivery,Electrical & Storage,12
37,Aqua Fresh,3999,13999,3.9,71.0,Free delivery,Electrical & Storage,12
38,AQUA Epic,3599,13500,4.1,73.0,Free delivery,Electrical & Storage,15
42,Blue Star,7999,13400,4.2,40.0,Free delivery,Electrical & Storage,12
43,Pureit Vital,12999,19999,4.5,35.0,Free delivery,Electrical & Storage,24
44,LIVPURE LIV-PEP-PRO-PLUS+,9599,15500,4.3,38.0,Free delivery,Electrical & Storage,12
45,KENT GOLD,2439,3200,4.0,23.0,Delivery charges,Non - Electrical & Storage,20
46,Grand plus,3799,16500,3.7,76.0,Free delivery,Electrical & Storage,10
47,LIVPURE LIV-PEP-PRO-PLUS+,9599,15500,4.3,38.0,Free delivery,Electrical & Storage,15
48,Always Gravity,891,2499,4.1,64.0,Free delivery,Non - Electrical & Storage,15
49,HAVELLS Max,13199,17499,4.2,24.0,Free delivery,Electrical & Storage,5
52,Hindware WR-18071UFN,6999,14990,3.9,53.0,Free delivery,Electrical & Storage,12
53,KENT GOLD,2399,2900,4.0,17.0,Free delivery,Non - Electrical & Storage,22
55,R.K. AQUA,3999,15999,4.1,75.0,Free delivery,Electrical & Storage,10
59,Aquaguard Glory,11846,22000,4.1,46.0,Free delivery,Electrical & Storage,15
63,AQUA STORM,3399,14500,3.9,76.0,Free delivery,Electrical & Storage,12
64,Aquatec Plus,5742,13999,4.3,58.0,Free delivery,Electrical & Storage,15
65,Aqua Frisch,3999,12999,4.1,69.0,Free delivery,Electrical & Storage,15
68,AQUA Storm,3599,14500,3.9,75.0,Free delivery,Electrical & Storage,12
69,Blue Star,6499,13400,4.1,51.0,Free delivery,Electrical & Storage,8
72,V-Guard Rejive,9199,15849,4.3,41.0,Free delivery,Electrical & Storage,15
